,P_Z0_before,P_Z0_after,P_Z1_before,P_Z1_after,P_WH_before,P_WH_after,T_Z0_before,T_Z0_after,T_Z1_before,T_Z1_after,P_bottom_before,P_bottom_after,T_WH_before,T_WH_after,failure
12,840.7605,859.0367,799.78186,791.57666,630.3131,637.0813,98.40802,97.851204,105.143814,87.23378,651.75037,610.6385,80.39141,74.091194,0.0
13,797.473,833.4402,752.4885,750.7264,618.4637,629.53326,104.16721,89.37507,91.75713,85.815,617.3683,570.9579,48.167564,51.768883,0.0
14,852.3398,835.38116,802.8398,779.56305,267.0503,229.07484,87.25873,83.808464,80.98506,86.0191,834.2706,797.8551,74.48646,69.665436,1.0
15,858.96716,845.3489,804.0721,790.81384,299.64648,249.59383,90.87828,84.81242,76.65348,87.622826,844.89105,812.7096,75.62605,73.48997,1.0
16,822.0997,851.60126,782.17694,775.3059,627.9373,636.291,110.357414,91.908936,97.18658,90.64099,642.8066,584.8342,56.97522,54.99785,0.0
17,857.0096,842.6484,803.7889,786.75354,276.8203,233.48679,89.052795,84.30646,79.39653,87.40494,841.2829,807.8167,75.22405,71.654526,1.0
18,770.8019,787.4567,701.95746,716.82446,255.5319,240.28854,85.22816,83.03328,85.61482,82.17467,783.8718,767.066,68.56798,64.83609,1.0
19,745.4102,767.678,688.3338,695.77576,602.38196,606.01764,89.80222,89.0895,82.76526,74.42915,573.24274,539.6897,47.655685,57.981236,0.0
20,858.60876,844.5634,803.9766,789.1901,288.73825,238.45477,89.95334,84.01682,77.86069,87.817184,843.652,809.2988,75.64097,71.698746,1.0
21,847.5934,830.48834,801.1907,774.4353,266.62436,232.556,86.77219,83.360916,81.74731,85.369705,829.04346,790.34357,73.98469,68.282425,1.0
22,827.5651,819.63605,790.609,757.44257,252.52458,232.16243,86.51921,84.156166,84.384026,84.46344,815.9478,789.35693,71.432106,68.81346,1.0
23,854.07074,837.7597,803.2261,781.79694,266.67935,228.3522,87.373825,83.89452,80.86773,86.37326,836.3023,799.5423,74.924286,70.011345,1.0
24,858.3003,843.4226,803.91455,787.6004,273.60913,228.2821,88.1909,83.96297,79.25648,87.329346,842.1757,804.48376,76.123795,70.678635,1.0
25,821.87415,849.729,778.8071,773.1004,624.67017,634.8413,106.60813,91.78806,97.57255,90.39189,636.95337,585.0615,61.243256,58.191055,0.0
26,789.43555,829.18744,746.89954,745.08307,620.5612,629.7268,104.55483,89.60213,89.30495,83.834274,614.23035,561.8978,42.84691,50.1176,0.0
27,748.30054,772.0301,693.23926,699.9377,600.1616,604.87195,90.54917,88.16788,83.67325,75.432106,575.2381,546.1706,47.886734,57.06426,0.0
28,764.81177,783.4606,690.1449,712.86475,256.53708,241.53369,84.91231,82.68003,85.95433,81.98689,778.44324,763.6123,68.29228,64.46904,1.0
29,801.4488,800.94867,757.72644,736.7393,258.65686,238.61491,85.5894,83.065155,84.62043,82.924164,798.49426,772.7608,70.06495,65.60167,1.0
30,766.5719,788.84814,701.6026,715.4883,249.6479,238.17464,85.216995,83.50117,86.48763,82.35334,782.93335,772.1853,68.07223,66.134865,1.0
31,776.1408,789.7196,717.21576,720.268,254.89555,239.4736,85.17957,83.05324,85.784,82.337814,785.2477,769.38226,68.595634,65.432785,1.0
32,785.7137,791.1839,732.3234,725.1076,260.0857,240.00099,85.347885,82.82194,84.785446,82.338234,789.42926,768.48334,69.07175,64.87729,1.0
33,833.2727,822.04047,794.21857,761.82513,255.47394,232.12978,86.48831,84.040886,83.72731,84.60328,819.45734,789.44946,72.086075,68.592354,1.0
34,722.9745,735.4486,662.91766,674.99725,509.58163,507.29132,81.79636,85.98127,86.79353,74.45027,604.43024,623.0992,55.758083,62.865376,0.0
35,853.9664,837.3603,803.14545,781.59503,268.53546,229.3444,87.378914,83.73736,80.60383,86.266365,836.20593,797.7264,75.037476,69.4891,1.0
36,815.9481,839.584,761.22614,761.4449,611.47144,627.9957,97.855774,90.72222,97.015465,88.90939,618.16315,582.1481,66.752556,63.057655,0.0
37,727.6434,739.7203,667.95044,678.70306,589.50354,589.0685,84.937065,88.161064,82.70706,72.25588,551.3653,535.582,49.684753,60.879627,0.0
38,803.9092,838.83746,759.31665,756.9647,621.48846,631.9781,106.57359,89.73077,92.74975,87.44484,624.1269,572.72845,48.42378,51.465744,0.0
39,816.83246,848.895,774.20935,769.5909,627.8602,636.33014,113.40592,90.86716,95.52939,91.360725,641.70264,579.0449,47.320835,49.003838,0.0
40,770.17645,806.17664,722.6879,724.32086,611.8345,620.42755,97.12348,89.09525,86.43571,79.38479,594.5817,553.46063,45.459282,53.805466,0.0
41,852.5742,837.2305,802.8807,780.3256,262.0768,227.87094,87.42383,84.26901,81.42569,86.323044,835.4738,800.05743,74.677414,70.18965,1.0
42,786.1181,825.58325,743.28894,741.8968,618.1415,627.7548,103.14413,89.07555,89.04859,83.23771,610.452,563.1225,43.535007,50.556507,0.0
43,809.9857,834.44824,754.9963,756.0533,608.53107,625.14856,96.28978,90.10989,95.43552,87.15162,611.8468,578.963,65.61283,62.79041,0.0
44,861.1177,848.4929,804.204,793.45886,315.27063,249.47452,92.094826,83.51367,74.93811,88.99674,847.76685,816.02014,76.06762,73.043144,1.0
45,845.22955,830.6287,800.4815,772.596,258.84564,230.08627,86.989426,84.16935,82.50945,85.4667,828.68475,794.78516,73.4984,69.32657,1.0
46,729.7048,739.6625,666.6566,677.9997,593.7974,592.79956,85.737976,88.664024,81.50661,72.09873,558.6438,533.9139,49.155296,60.20296,0.0
47,818.7099,844.0156,766.862,765.70984,617.25806,631.5238,102.447556,90.70375,97.47225,90.59265,626.96906,583.4467,63.289204,59.859787,0.0
48,811.49664,839.23944,760.4974,759.83453,615.5114,629.52124,101.233444,90.103165,95.36905,88.42608,620.45123,578.9244,60.58493,58.793556,0.0
49,857.05835,840.70374,803.75,785.4522,272.65494,228.09926,87.55606,83.58727,79.79362,86.79606,839.5374,800.8141,75.7047,70.05094,1.0
50,780.48126,819.2483,736.53516,736.09985,615.72876,625.19415,100.938545,88.9097,88.09512,81.85857,604.59015,560.31213,44.271847,51.73436,0.0
51,779.2628,814.36005,731.8316,732.4584,610.51306,621.2661,97.96999,88.783966,88.64626,81.40568,599.4113,563.29364,48.395092,54.010357,0.0
52,783.6155,793.83167,737.0639,725.1405,252.78214,237.08812,85.344734,83.41318,85.842606,82.62507,789.29004,775.5197,68.526474,66.646805,1.0
53,746.52454,759.41254,672.4852,697.0081,267.63416,246.66568,83.21815,80.53149,87.00623,81.03448,746.699,748.72076,66.44847,63.357258,1.0
54,818.65753,811.6192,780.4924,749.6427,257.69992,235.81413,86.058975,83.51808,84.05015,83.66908,809.5364,780.3912,71.09101,66.83601,1.0
55,828.6774,852.8476,787.34033,779.68536,623.7551,634.3276,101.33082,93.32498,100.20694,89.37993,637.06903,593.5226,71.790504,65.97445,0.0
56,849.6994,832.111,802.0576,776.3963,267.83896,230.61485,87.085884,83.61833,81.12708,85.562164,831.43427,794.4756,74.0427,68.94309,1.0
57,836.69763,821.6154,796.2835,763.9073,262.24997,233.57133,86.331406,83.40958,83.00925,84.51092,819.81647,786.83344,72.358086,67.977356,1.0
58,795.0088,831.5543,750.14166,748.4502,617.8822,628.8931,103.636734,89.37127,91.31417,85.21965,615.4208,569.8847,47.49545,51.612038,0.0
59,805.1107,842.90985,764.12964,760.22046,626.2887,634.8078,112.03539,90.06951,92.55216,88.54493,632.7486,571.7186,40.409527,46.035458,0.0
60,764.5169,778.15967,687.25946,710.6141,262.87085,243.4307,84.74838,82.09941,85.301445,81.66374,775.10535,758.50116,68.21734,63.40333,1.0
61,860.94904,848.00037,804.1866,792.7598,303.78067,242.46637,90.90623,83.55325,75.93857,88.68252,847.0944,812.97327,76.44947,72.33148,1.0
62,743.04004,763.1628,685.46954,693.6306,599.7698,602.7249,89.223404,88.5212,82.65098,74.26417,571.21204,540.86005,48.074753,58.0991,0.0
63,767.1939,801.64276,719.58215,721.7932,607.8196,616.6802,96.15711,88.08246,86.48852,79.25206,591.4896,557.0865,46.217983,53.835182,0.0
64,848.111,833.2742,801.6894,775.5849,258.3438,228.6827,87.07434,84.28397,82.45782,85.832375,830.97797,797.8237,73.789536,70.03344,1.0
65,827.2825,853.2113,787.46265,779.55707,626.1949,635.4186,104.67398,93.08629,99.3354,89.61233,640.5802,591.53217,67.987206,62.798325,0.0
66,781.626,820.81726,737.74084,737.3062,617.6676,626.601,101.478935,89.335014,87.82385,81.84086,606.02576,557.2402,43.84641,51.86197,0.0
67,829.0549,852.97797,788.0952,780.0947,623.5702,634.1158,99.94814,93.892624,100.346596,88.68983,635.90784,593.73615,73.11226,67.33066,0.0
68,844.45013,827.1851,799.93866,771.0157,266.6932,233.22379,86.65466,83.30108,81.9116,84.994286,826.1331,788.4978,73.451035,67.93482,1.0
69,757.358,787.0715,705.61896,709.7379,604.6931,611.73236,92.99699,88.68005,84.96311,76.98692,582.8178,550.30084,46.955517,55.725807,0.0
70,723.6994,733.3073,660.05585,672.68427,517.327,513.82806,82.13543,86.49191,85.82478,74.145966,607.1885,620.018,55.376453,62.375828,0.0
71,832.66693,817.7166,792.74634,760.04047,265.1699,235.92805,86.21922,83.07261,82.76356,84.08716,816.8071,781.3216,72.22617,66.702545,1.0
72,733.7717,744.8575,671.4522,681.8351,592.22125,592.35864,86.6989,88.06752,82.11042,73.04833,563.6264,540.85065,49.21265,58.945908,0.0
73,853.0115,837.05286,803.0388,780.6147,263.78168,227.54604,87.40335,84.171036,81.22435,86.30263,835.5134,800.7205,74.5846,70.34289,1.0
74,846.06226,860.4341,802.12537,794.9468,632.06573,637.7973,95.05119,100.50981,108.48362,86.00285,657.8123,621.0284,83.26851,78.08922,0.0
75,830.3164,816.07733,790.7636,758.0195,265.0272,236.39833,86.173546,83.04606,82.850365,83.942444,815.2854,780.03674,72.05258,66.44945,1.0
76,782.438,787.732,729.8732,722.4661,261.15274,240.64914,85.027054,82.49227,85.1254,82.19038,784.71387,766.712,68.68755,64.87068,1.0
77,759.899,780.8696,686.78217,709.8292,255.38399,241.28401,84.665245,82.58857,86.50534,81.9235,773.8376,764.0981,67.78439,64.92426,1.0
78,749.3211,763.00433,675.5479,699.6215,266.07172,246.34038,83.33226,80.70722,87.048454,81.17619,750.33624,749.7873,66.755135,63.464325,1.0
79,748.7035,772.87067,693.81177,700.5132,600.9898,605.68396,90.701836,88.24616,83.58936,75.435074,575.6532,545.34607,47.77661,57.09566,0.0
80,732.83307,748.32697,661.00616,684.7183,316.83078,301.201,82.4647,81.58057,87.97072,79.73754,714.22064,730.3602,63.77645,63.609047,1.0
81,726.9143,737.8129,667.6962,677.7409,580.9957,581.3097,84.326706,87.31432,84.12445,72.85845,548.4581,543.66437,50.53089,60.392063,0.0
82,734.39923,747.77313,662.1977,685.68585,319.0643,301.97772,82.46247,81.38409,87.70383,79.65332,714.1791,728.1476,63.90905,63.281475,1.0
83,846.76733,829.0623,801.125,773.1819,266.89322,231.31316,86.875465,83.54006,81.565544,85.22124,828.373,792.6502,73.49225,68.71605,1.0
84,853.1027,837.90405,803.0635,780.9722,261.1316,226.97137,87.43508,84.3696,81.54297,86.460655,835.928,801.74036,74.65853,70.64268,1.0
85,748.30493,772.3104,692.9047,699.3649,601.55975,606.2471,90.51553,88.688965,83.52473,75.205574,575.3435,544.4715,47.658024,57.262985,0.0
86,804.285,839.3543,760.09,757.6967,621.6909,632.13,107.13416,89.44709,92.818085,87.736374,625.0544,573.38025,47.986637,50.963245,0.0
87,828.6041,851.82965,786.5047,778.9085,620.7106,632.6633,97.57422,93.54828,100.431816,88.41971,631.65015,593.8557,74.59337,68.78075,0.0
88,746.5912,763.93713,674.8828,698.86115,262.86383,245.40341,83.2789,80.90244,87.59516,81.273796,749.1069,752.4119,66.50324,64.14959,1.0
89,854.13525,837.1311,803.2034,781.70447,269.73767,229.57327,87.27954,83.574715,80.58575,86.23854,835.9432,797.35864,75.0086,69.472374,1.0
90,790.7554,795.7852,746.1321,729.1862,255.97565,237.44714,85.50413,83.29982,85.13909,82.67686,793.0141,774.98816,69.00086,66.25311,1.0
91,725.84393,738.32916,667.9226,678.0169,585.06683,585.0129,84.2439,87.842094,83.62665,72.35101,546.4518,538.41473,50.119987,61.200123,0.0
92,846.8775,831.1944,801.04486,773.9929,262.07953,230.64224,87.00327,83.93035,82.03815,85.495895,829.6468,793.9629,73.76911,69.0345,1.0
93,774.1635,810.8806,728.2776,729.007,610.2167,620.24396,98.372925,88.15311,87.81868,80.870026,597.91986,561.8222,45.622437,52.380802,0.0
94,809.0273,805.1353,769.87744,741.99945,258.27606,236.8116,85.83314,83.33752,84.31025,83.21156,803.2757,777.47577,70.29517,66.39091,1.0
95,764.1675,797.47656,715.4597,718.1723,607.43976,615.64557,95.18984,88.421646,85.8876,78.43856,588.8301,554.2155,46.329338,54.54574,0.0
96,850.81793,834.4016,802.38367,778.02484,264.89316,229.6138,87.20875,83.89782,81.35069,85.88677,833.1026,796.5633,74.33725,69.42909,1.0
97,730.5361,740.5611,668.08307,678.96564,591.0992,590.533,85.82196,88.19483,82.079926,72.537735,558.9677,538.1899,49.424732,59.74933,0.0
98,771.4025,807.2353,724.9221,726.087,608.744,618.5392,97.43086,88.06864,87.431015,80.28222,595.2454,561.0545,45.92353,52.87443,0.0
99,829.8854,815.4685,790.9442,757.5791,264.79953,236.2029,86.07066,82.99727,83.03785,83.921616,814.3217,780.44836,71.870224,66.6753,1.0
100,803.7706,804.4381,765.49725,739.1032,253.391,235.69139,85.72492,83.629814,85.173645,83.250824,800.76776,779.7484,69.798996,67.16666,1.0
101,779.2836,787.9956,724.5456,721.00256,258.6921,240.03511,85.0917,82.73117,85.37701,82.224075,784.5422,768.118,68.54929,65.15953,1.0
102,828.5235,816.13306,790.86896,756.95087,260.25214,234.51637,86.08576,83.379326,83.65605,84.054794,813.96545,784.0455,71.53633,67.61945,1.0
103,730.4575,744.15295,660.75525,681.5976,380.18628,366.53827,82.497986,82.92617,87.097084,78.13352,690.8041,706.02313,61.61649,63.284657,1.0
104,736.83594,750.7782,676.76306,686.4783,593.0411,594.11664,87.55529,87.694496,82.46572,73.6733,565.96783,543.07056,49.04753,58.46726,0.0
105,819.19366,846.35516,771.84076,768.47174,621.16943,633.1898,104.49326,91.162476,97.064026,90.25183,630.9646,582.7482,61.485744,58.729286,0.0
106,752.59204,766.57294,678.5648,702.2935,264.95895,245.9383,83.52702,80.92672,86.90053,81.30453,754.96716,751.0764,67.09268,63.490643,1.0
107,743.7514,758.04156,671.2634,695.6616,266.6228,246.8331,82.97327,80.39138,87.537346,81.03148,742.2846,748.15295,66.21411,63.617382,1.0
108,736.29785,749.6712,675.85144,685.407,592.4935,593.54663,87.35403,87.82361,82.51816,73.57617,565.48065,543.5029,49.08207,58.50753,0.0
109,723.56714,734.0863,661.3279,672.55475,534.0219,531.5593,82.36842,87.418236,85.28978,73.501335,598.56287,608.03143,54.247517,62.530197,0.0
110,783.75507,821.5131,739.24585,738.73004,614.01794,624.6665,101.1017,88.393425,89.27419,82.89886,606.192,565.73975,45.8642,51.569344,0.0
111,845.1184,828.9796,800.6117,771.9745,262.0955,230.56668,86.81254,83.83233,82.32175,85.27663,827.3658,793.8633,73.24274,69.201546,1.0
112,771.4086,782.42163,705.08795,715.361,261.40237,242.14883,84.869934,82.31925,85.32631,81.89733,779.1203,762.27576,68.39067,64.09769,1.0
113,760.16406,790.9818,709.30383,712.7811,603.9625,612.03265,93.70292,88.31453,85.7739,77.809525,585.0149,554.49243,47.024014,54.934692,0.0
114,816.13403,844.59735,767.4122,765.3713,621.34827,633.1977,105.88916,90.63673,96.072624,90.28817,630.2568,579.8045,57.34959,56.102924,0.0
115,857.56006,842.2226,803.802,786.479,273.21088,228.75288,88.08118,83.91261,79.36625,87.07113,841.18134,802.7418,75.94813,70.25672,1.0
116,792.2659,830.7109,749.0264,747.00867,618.80615,629.1602,104.4977,89.20341,90.61898,84.83319,615.40936,568.2536,44.611732,50.04237,0.0
117,825.0802,851.3715,783.6641,776.5653,624.4404,634.6053,103.80985,92.70601,98.6961,89.5473,636.7107,588.7956,67.03158,62.40421,0.0
118,852.7624,837.02527,802.90314,780.4183,263.8642,228.33401,87.42217,84.1348,81.18123,86.26662,835.52094,799.2726,74.7362,69.94561,1.0
119,754.15045,774.6136,680.5273,704.62195,258.21414,241.65828,84.47931,82.30173,86.39027,81.635895,768.0979,762.89,67.12551,64.81171,1.0
120,730.77576,745.58386,661.4878,683.2303,351.37656,337.23178,82.29374,82.10196,87.823875,78.852875,698.10156,715.8388,62.579887,63.494133,1.0
121,831.0748,854.4204,790.6426,782.3739,625.2414,634.9943,100.997696,94.20462,101.04106,89.057686,639.8364,596.2513,73.58671,67.43994,0.0
122,837.0834,823.3342,796.32806,764.7512,259.5902,233.0235,86.45498,83.6745,83.19525,84.68324,821.1414,788.007,72.55311,68.19316,1.0
123,762.4859,777.34607,685.6637,709.15955,262.18048,242.76367,84.80281,82.23433,85.31872,81.63871,774.659,760.22064,67.960915,63.707214,1.0
124,728.234,742.5511,663.2126,677.96,492.00888,486.1085,83.04246,86.61293,85.1599,75.06961,647.3,653.8034,56.898922,63.289417,1.0
125,767.4349,787.70245,703.7261,715.3084,251.49928,238.425,85.20593,83.37403,86.2368,82.275635,782.5682,771.60394,68.020874,65.96624,1.0
126,748.75995,763.5927,675.9215,699.7891,264.8665,246.24753,83.25031,80.712006,87.349846,81.22757,749.4253,750.0541,66.72788,63.669315,1.0
127,858.8042,845.02,804.0543,790.15497,288.46957,243.27133,89.7807,85.04639,77.64064,87.33318,844.27637,810.67346,75.991554,73.25982,1.0
128,830.61,854.72314,790.9845,782.63116,626.5031,635.55347,102.933586,93.87806,100.651115,89.307274,642.1249,595.7848,71.95064,65.85392,0.0
129,742.6469,762.5061,684.28406,692.1899,600.2509,603.29706,88.99895,89.011765,82.63744,74.04155,570.8926,540.02734,47.984585,58.24084,0.0
130,814.5706,806.204,777.1145,745.5319,261.50406,237.31682,85.67767,82.961555,84.09021,83.28431,804.16034,776.6902,70.54909,66.328186,1.0
131,762.717,795.83356,713.20087,716.63934,609.4214,616.6764,94.88684,88.90051,85.04438,77.7683,587.9175,548.41766,46.109825,55.258705,0.0
132,767.4556,802.38855,719.218,721.35004,610.39374,618.7437,96.21799,88.98467,86.095184,78.85178,592.0084,552.7859,45.78265,54.2407,0.0
133,845.2478,860.31195,801.9112,794.5854,632.2306,637.8728,96.312065,100.081,107.77532,86.212395,657.8467,619.10767,82.759224,77.26399,0.0
134,817.41437,843.41656,766.14246,765.0337,617.52374,631.41095,102.65873,90.45422,96.88077,90.23036,626.2845,582.1472,62.370644,59.425358,0.0
135,834.86664,857.1811,796.09454,787.3536,629.26733,636.6705,102.68867,95.29618,102.079926,88.50045,648.127,601.4566,75.17146,68.52728,0.0
136,785.183,820.2555,738.3739,738.77783,611.58203,622.9696,99.32081,88.33674,89.617905,82.836655,603.88696,566.5716,49.53295,53.87599,0.0
137,862.6269,852.60315,804.2742,796.9935,357.98703,278.8034,96.24835,84.35192,70.05916,90.059044,852.12463,825.23065,76.68209,75.97682,1.0
138,774.4899,812.2634,728.309,729.20996,615.5955,623.9201,98.7743,89.64965,86.5404,79.97804,599.0177,551.5987,44.57287,53.44458,0.0
139,757.14233,771.84625,681.2331,705.2218,263.63483,243.97778,84.26831,81.68593,85.93686,81.44974,766.0539,756.7318,67.453415,63.6545,1.0
140,813.923,838.5887,760.0109,760.2468,611.8287,627.79126,98.28361,90.36166,96.30069,88.48101,617.4118,580.77997,65.36675,62.187714,0.0
141,757.22845,770.272,680.8025,704.817,265.3786,244.76299,84.14712,81.44892,85.87542,81.37026,764.337,754.5454,67.47052,63.317917,1.0
142,814.39087,842.8119,764.9352,763.2801,619.5017,632.0825,104.24069,90.561165,95.83574,89.57549,626.80994,579.43304,58.332306,56.946827,0.0
143,842.65784,827.43494,799.04175,769.81445,262.0825,232.57918,86.7421,83.69185,82.41896,85.04962,825.84985,789.55804,73.34208,68.208,1.0
144,785.29285,793.90735,733.409,725.9001,255.74867,238.47372,85.481865,83.25921,85.20078,82.53844,791.16943,772.2454,69.01285,65.667114,1.0
145,724.9053,738.13544,662.75586,677.2098,476.9939,472.27707,81.92064,85.007965,87.05631,75.52073,630.24365,649.1512,57.54098,63.054108,1.0
146,763.2487,779.8582,688.20856,711.0886,259.39078,242.94115,84.588844,82.19112,86.04319,81.81435,773.85187,759.8192,68.146515,64.01055,1.0
147,785.7324,825.2389,742.28156,741.0546,618.86945,628.1559,102.92349,89.537735,88.76994,82.904625,610.18225,560.2289,43.443684,50.867393,0.0
148,858.72003,843.9583,803.99097,788.7003,282.8824,233.37141,88.96316,83.79866,78.50274,87.58417,842.8496,807.155,75.839386,71.33472,1.0
149,833.2309,821.4931,794.4201,761.57684,256.18063,232.03618,86.45632,83.986694,83.67707,84.55753,819.0458,789.63696,71.96439,68.6526,1.0
150,785.6131,825.17053,742.47186,741.3135,618.87714,628.08527,102.98935,89.36187,88.65001,82.90137,610.0975,560.2134,43.42392,50.91649,0.0
151,763.3973,781.7927,688.5028,711.3929,257.48016,241.46199,84.92427,82.6541,85.80246,81.897514,777.524,763.73315,68.09823,64.44382,1.0
152,764.126,797.11865,715.30914,718.2788,606.1288,614.5849,95.13744,87.98073,86.09265,78.657875,588.6697,555.7125,46.615593,54.32031,0.0
153,796.80194,796.34357,750.90094,732.5484,261.38803,239.49438,85.47564,82.81186,84.40741,82.619484,794.88544,770.33545,69.6689,65.10857,1.0
154,824.67554,849.91907,781.6862,775.01917,621.6335,633.16113,100.48872,92.93834,98.80273,88.818115,631.46936,588.3245,69.82377,64.99083,0.0
155,724.4377,735.4459,665.9288,674.6385,586.9397,586.616,83.94389,88.90553,83.20335,71.71146,546.59576,538.26025,49.611404,61.482384,0.0
156,744.4682,768.6512,675.30225,699.27216,256.4585,242.64319,83.60272,81.6796,88.01713,81.53066,753.7687,760.00775,66.269226,65.413414,1.0
157,813.6008,843.2832,765.58716,763.5913,620.9937,632.735,105.81305,90.30093,95.36325,89.65792,628.5107,578.5733,55.845127,55.294025,0.0
158,790.72363,830.0379,748.3856,746.36945,619.1164,629.11786,104.817604,88.94689,90.14439,84.597565,615.0569,567.1991,43.402916,49.485504,0.0
159,858.37836,842.9726,803.925,787.51587,275.3074,228.26192,88.04359,83.74809,79.08994,87.21188,841.91595,803.50275,76.12413,70.43465,1.0
160,811.8574,808.20605,773.4164,744.765,255.95369,236.16373,85.87574,83.50929,84.57486,83.452194,805.3735,779.15076,70.56557,66.80066,1.0
161,848.8692,831.446,801.8066,775.6313,266.8186,231.18822,86.88734,83.50065,81.556694,85.50744,830.19946,793.24817,73.94309,68.87559,1.0
162,861.4651,849.3615,804.22253,794.15186,320.4007,252.13675,92.647026,83.49192,74.34506,89.293884,848.59607,817.39166,76.20335,73.30418,1.0
163,833.7415,818.38654,793.90045,760.82874,264.99612,234.9714,86.3265,83.216194,82.63146,84.15584,817.7856,783.52246,72.15998,67.10086,1.0
164,857.7316,842.0488,803.82874,786.46606,272.61636,227.53824,87.81033,83.78092,79.43154,87.00516,841.0053,801.9961,76.02231,70.11442,1.0
165,723.27826,733.6366,661.2191,672.37634,533.88275,531.56226,82.27863,87.32795,85.42637,73.50786,596.3988,606.8126,54.25186,62.493824,0.0
166,847.2414,829.2027,801.11505,773.6846,268.82803,232.6316,86.790184,83.26801,81.42072,85.20018,828.4681,790.1232,73.78119,68.14121,1.0
167,728.5238,739.4781,667.0876,678.30554,591.64575,590.83813,85.30526,88.36549,82.08344,72.16563,554.7974,534.3992,49.455116,60.579628,0.0
168,790.5257,795.5243,746.4534,729.0638,255.88605,237.53554,85.42581,83.23821,85.27162,82.675545,792.2586,774.7776,68.95254,66.30616,1.0
169,859.67566,846.56573,804.09534,791.27057,300.58087,244.86946,91.24854,84.00536,76.602394,88.434586,845.69574,813.4315,75.66976,72.5767,1.0
170,854.1022,837.8657,803.2377,781.82263,266.42465,227.98811,87.44944,83.991325,80.793365,86.38748,836.5353,800.18677,74.90217,70.105415,1.0
171,821.72876,811.725,784.199,751.3223,260.56964,235.71103,86.06155,83.34564,83.644615,83.66475,810.3644,780.8493,71.12157,66.86494,1.0
172,746.9102,754.07654,670.8234,695.5611,273.11798,248.82942,82.94248,79.8969,86.656845,80.78393,741.60803,742.2292,66.48969,62.31575,1.0
173,848.9629,832.473,801.8539,775.94037,264.1603,229.96472,87.09713,83.88473,81.6157,85.64793,831.229,795.5794,73.95098,69.299934,1.0
174,830.8142,854.87714,791.4759,783.0326,626.51984,635.49884,102.64353,93.856606,100.69969,89.12075,642.0955,596.3139,72.424576,66.2507,0.0
175,820.4975,850.00977,778.32367,772.5754,626.6053,635.7579,109.670074,91.652054,96.90615,90.78487,640.0307,583.1469,56.096355,54.60529,0.0
176,735.0542,748.43665,660.97064,685.8743,295.05725,277.5269,82.42264,80.8931,88.019615,80.27003,721.9604,736.2618,64.68122,63.248558,1.0
177,756.0977,785.22266,704.5696,709.3465,604.2865,610.7624,92.828804,88.26234,84.573326,76.81502,581.845,549.2619,47.075397,55.959724,0.0
178,834.2096,852.74695,789.11755,782.7227,617.57556,631.0527,93.47063,93.643456,103.11189,87.84653,627.2438,600.9413,78.58197,72.450584,0.0
179,838.60297,821.45575,796.6956,765.0822,267.87442,235.24017,86.420235,83.04001,82.0923,84.39025,821.06805,783.473,72.7965,66.924034,1.0
180,846.28534,831.544,801.10876,773.62427,257.9409,228.82466,87.02585,84.3082,82.58689,85.61922,829.4179,797.29047,73.4277,69.94396,1.0
181,753.27325,780.20264,700.56366,706.00104,601.13745,607.3068,91.91675,87.86786,84.54302,76.52611,579.23175,550.4882,47.621124,56.118298,0.0
